address,lock_hash,total_block_reward,floor_total_block_reward
ckt1qyq07aczvya4ecwz52v6egplflretlazs5lswz676t,0x8e0f651f1a4bb741cb8a03567d7fa2441933880d8494007dd3d2944b7f09a9ea,637490573152,175
ckt1qyqprumu4ktdnk3jvadw2wmg6gk9qdwrze0sdex8e4,0x5650fdfdfaf6f8f7e5829352a591f1ebab003ce3c0a528c5ef5084d30ef040a1,620331307720,170
ckt1qyqqdpr7amzhy30k56r79g5q0v5ht79z9prq7gj65a,0xdc3d4d1c44c4b773d24b54b6da9ec1447f98e0ab4df1944d58bf5bbbd4eb6ce6,607681761122,167
ckt1qyqypeqj2fe9eg7x98de3ytkr8w6q8a4qfxqvpfufj,0x8638e6f3c3bb27355d75dd91a4450ec91f686e9be430dab4086fce5c67abc0ee,592598650293,163
ckt1qyqtsx8vvgshz87vqqr058shwjvav5kv0d7s7n6rj2,0x21225bb6d09352bbc0e0aa6fc82eedf272d3cdfe37608cec48ee6c7a50499242,544171233416,149
ckt1qyqrutmngrdwskk8styxe6ffyfzxuaaeldesytv9wy,0xbecfb732a4f695cd9acfc8245431f5cf09686bd004ebe77226fa4da797174c0a,517250125880,142
ckt1qyqyrzkyfpdrm05zyyepkfykx88cfydnrlgs7ph892,0x3c38dfcb71eb69184ee6a11d272c15b127429deda5ee925bbfbceb7514dc0fd5,516979876474,142
ckt1qyqfvqnwajuxmyu7lzfqzdjnkgal8jzrvf0sh4zzxw,0x28681a776a05aae9c36ed0683266594cca3e442596f56910e473cb3ae4f2d87e,494895622853,136
ckt1qyqxwgsu5xrf0htl80lnu6ndktaty3pc2p2q7px2qj,0x55ebf912f6b02d2e402aa038dbcb0335c18b99e4ac964b5a0b43550982920e81,463338744589,127
ckt1qyqxhjfamvymqeepncvfec9q0l0fcguxt0kqlnk298,0x7fe45845ccaf230f08907d86cd85f3128e3ef45e4fb7d659b55cc939a848de69,449238418932,123
ckt1qyq9nc2w7pew7xgme7s0az785syljkkj2crq3a3xm0,0x6a56423fe8bbaf4e5603cfee918ca38b9916b386f6015ff977dab1162f41c353,446423729522,123
ckt1qyqqm4u7xd57smcvhhj27vh5l4ynr0fuevastethyv,0xc3ca87a317a82d18be081d9522646bddd9fa381a3ef8f63f41cc09dbeea159ee,421793118513,116
ckt1qyq9jljmejqutc0xq8m2a76reymz69a8t04qa2pzem,0x440def81e69c2f10e704ccb0c475000acf259c94d26a5d07eda9e29b9f408c4b,419046108291,115
ckt1qyq0d8zwdull77t73f32fsu20eqlk8g7vefss0gj9x,0x0a2a436bcf26579081dafd95a8738c75f74fb2c95e26be8915f14bcab328ad88,388638674022,107
ckt1qyqpwmkswf6kan5kwfdfrpcazf33sxfxulys9ljj8t,0x1f4bf1fc31ac0f19353e84b06da5327b67661bad933a44a7ea3dd43fd2a7704d,385368892164,106
ckt1qyqq7vwrvms9fd5ne8ay0kn78p8jenvlh8vsx5cq4q,0xac4add3f4d7c4e6345113c0dcd0262867f72cf64230807213309e009ce539568,385334296165,106
ckt1qyqvxkmlf34rmuarvq2pctprt09sf2lnvk6sqw6jfz,0xfadbcb4414f4fb4151b53e6b785a0356ef18fff5721cfaffb314d488c488321a,375726986798,103
ckt1qyq9kxky5snxnat589t0p3pu62kwpkdx20ss8a6dl5,0xba080571d22a349b667f9776b6cc4621dfa0ffa34885768b451dbd6825ec598b,349231482871,96
ckt1qyqttgn7dvqaxzgntvrq388pj23x0n4d4r4qsmj4x3,0x2984bdc11229793e08f03095716a44a92d264ba2f6004d2bfe7b4f0b5a3cb179,345093667143,95
ckt1qyqx52t0xs6vh9vycu290azkkdntujp9rueqct3nqr,0x7617b1ce825eb6aed8a561981a940f808432580bd0a8585865f6a149075f5a08,308767008693,85
ckt1qyqwrdsl9lep73zkghczv8wdn4s8x27072gsvujrv5,0x01a16bda24b2fb2355122a71a2beeee7fa81c1395c29412296d9b60692a0a76c,306082540258,84
